arc,a
alignment,afo
align,al
alignmentoffset,alo
array,arr
measurearea,ar
breaklineedit,bed
break,br
breakline,brl
breakatpoint,brp
circle,c
measureangle,cga
chamfer,ch
changelayer,chl
copy,co
dimaligned,dal
dimangular,dan
dimarc,dar
dimcontinue,dco
dimdiameter,dda
dist,di
dimlinear,dli
dimradius,dra
erase,e
ellipse,el
extend,ex
exclude,exc
fillet,f
flatten,fla
gradingregion,gr
gradingtemplates,gtp
hide,hio
isolate,iso
join,j
line,l
label,lab
layerfreeze,laf
layerthaw,lat
lineinfo,lcp
lengthen,len
list,ls
move,m
matchprop,ma
mirror,mi
mtext,mt
note,not
offset,o
ortho,ort
pedit,pe
profileedit,ped
polygon,pg
createnetwork,pin
pline,pl
point,po
profileoffset,pof
profileproject,ppr
properties,pr
profiles,prf
profilebylayout,prl
profilefromsurface,prs
profilesuperimposed,psu
redo,r
reverse,re
rectangle,rec
regionedit,red
rotate,ro
revcloud,rvc
scale,sc
selectbydistance,sd
sections,sec
sectionproject,sep
selectbyfreehand,sf
selectbylocation,sl
samplelines,slp
snaps,sna
square,sq
selectbyradius,sr
stretch,str
selectbyvalue,sv
trim,tr
undo,u
unisolate,uni
volumesdash,vod
wipeout,wip
explode,x
